# Ebin    rho(Ebin)
4.7945  0.924544
4.80043  0.924791
4.80484  0.924972
4.80732  0.925073
4.81423  0.925351
4.82146  0.925635
4.82276  0.925685
4.825  0.925772
4.82675  0.925839
4.82966  0.925949
4.84304  0.926444
4.84366  0.926467
4.84511  0.926519
4.84894  0.926655
4.8521  0.926766
4.85974  0.92703
4.86003  0.92704
4.86003  0.92704
4.86161  0.927093
4.86379  0.927166
4.86556  0.927225
4.87381  0.927495
4.87552  0.92755
4.88007  0.927694
4.88215  0.927758
4.88464  0.927835
4.89503  0.928146
4.90143  0.92833
4.90292  0.928372
4.90568  0.928449
4.90885  0.928537
4.91772  0.928773
4.92128  0.928865
4.92801  0.929034
4.93232  0.929139
4.9414  0.92935
4.94355  0.929399
4.94361  0.9294
4.94435  0.929416
4.94828  0.929503
4.95267  0.929597
4.95286  0.9296
4.95453  0.929635
4.95761  0.929699
4.96245  0.929795
4.96702  0.929883
4.9688  0.929917
4.97405  0.930013
4.97492  0.930028
4.9801  0.930119
4.98742  0.930239
4.98966  0.930275
4.9906  0.930289
4.99408  0.930342
4.9973  0.93039
5.00893  0.930549
5.00936  0.930554
5.01218  0.93059
5.0191  0.930672
5.02307  0.930716
5.05634  0.930997
5.0653  0.931046
5.0695  0.931065
5.07114  0.931072
5.07138  0.931073
5.07275  0.931079
5.07881  0.9311
5.0822  0.931109
5.0832  0.931112
5.08352  0.931113
5.0939  0.931131
5.10033  0.931136
5.10264  0.931136
5.10792  0.931135
5.11764  0.931123
5.11805  0.931122
5.11851  0.931121
5.12017  0.931118
5.13757  0.931065
5.13773  0.931064
5.13842  0.931061
5.1397  0.931056
5.14442  0.931034
5.14657  0.931024
5.14769  0.931018
5.14983  0.931007
5.15301  0.930989
5.16082  0.930942
5.16177  0.930936
5.16516  0.930913
5.16633  0.930905
5.17584  0.930835
5.17817  0.930816
5.18246  0.930781
5.19034  0.930712
5.19312  0.930687
5.19437  0.930675
5.20844  0.930536
5.20856  0.930535
5.21843  0.930429
5.22545  0.93035
5.22631  0.93034
5.24585  0.930106
5.2543  0.93
5.25883  0.929942
5.264  0.929875
5.2707  0.929787
5.27341  0.929751
5.27428  0.92974
5.276  0.929717
5.29012  0.929528
5.29205  0.929502
5.29313  0.929487
5.29595  0.929449
5.30116  0.929379
5.30174  0.929371
5.31157  0.929238
5.31596  0.92918
5.32272  0.92909
5.32867  0.929011
5.32945  0.929001
5.34134  0.928847
5.34298  0.928826
5.36333  0.928577
5.37449  0.928448
5.37696  0.928421
5.38284  0.928357
5.38358  0.928349
5.38712  0.928312
5.38776  0.928306
5.39983  0.928187
5.40371  0.928151
5.41094  0.928088
5.41193  0.92808
5.42589  0.927972
5.43032  0.927942
5.43258  0.927927
5.43601  0.927906
5.43713  0.927899
5.43907  0.927888
5.4399  0.927883
5.44084  0.927878
5.45301  0.927819
5.46485  0.927778
5.47568  0.927756
5.48005  0.927751
5.48072  0.927751
5.48591  0.927748
5.48725  0.927749
5.49117  0.92775
5.50401  0.92777
5.5047  0.927772
5.50664  0.927777
5.50706  0.927778
5.50862  0.927783
5.52926  0.927878
5.54886  0.928028
5.54965  0.928035
5.55538  0.928091
5.56884  0.928242
5.5703  0.92826
5.57037  0.928261
5.57102  0.928269
5.57225  0.928285
5.57903  0.928376
5.58333  0.928438
5.58693  0.928491
5.59464  0.928614
5.59598  0.928636
5.59892  0.928686
5.60298  0.928757
5.60355  0.928767
5.60406  0.928777
5.60712  0.928832
5.60855  0.928859
5.60937  0.928875
5.60994  0.928885
5.61163  0.928918
5.62345  0.929157
5.62952  0.929289
5.63277  0.929362
5.63602  0.929437
5.64315  0.929607
5.65431  0.929889
5.6559  0.929931
5.65755  0.929975
5.66982  0.930315
5.67657  0.930512
5.67946  0.930599
5.67965  0.930604
5.68278  0.9307
5.68338  0.930718
5.68987  0.930921
5.69313  0.931025
5.69354  0.931039
5.6942  0.93106
5.70033  0.931261
5.70096  0.931282
5.70636  0.931465
5.71585  0.931796
5.71645  0.931818
5.71657  0.931822
5.71973  0.931935
5.72445  0.932107
5.72679  0.932194
5.72815  0.932244
5.74423  0.932862
5.75217  0.93318
5.76059  0.933526
5.76452  0.93369
5.766  0.933752
5.76717  0.933802
5.7673  0.933808
5.78271  0.934476
5.79166  0.934877
5.79857  0.935193
5.80038  0.935276
5.80088  0.935299
5.80162  0.935333
5.81075  0.935762
5.81084  0.935766
5.81121  0.935783
5.81394  0.935913
5.81671  0.936046
5.84285  0.937332
5.84807  0.937597
5.85695  0.938052
5.86528  0.938486
5.86888  0.938675
5.87439  0.938966
5.87559  0.93903
5.87778  0.939147
5.88315  0.939434
5.88452  0.939508
5.8886  0.939728
5.8905  0.939831
5.8921  0.939918
5.89378  0.94001
5.90469  0.940608
5.90737  0.940757
5.92247  0.941602
5.92787  0.941908
5.9284  0.941938
5.93568  0.942353
5.93841  0.942509
5.95873  0.943689
5.97731  0.944787
5.98098  0.945006
5.98257  0.945102
5.98534  0.945268
5.99426  0.945806
6.00231  0.946296
6.00399  0.946399
6.00505  0.946464
6.01267  0.946932
6.01963  0.947362
6.03021  0.948022
6.0346  0.948298
6.03541  0.948348
6.03725  0.948464
6.05149  0.949369
6.0529  0.94946
6.05647  0.949689
6.07002  0.950567
6.07544  0.950922
6.11369  0.953489
6.1182  0.9538
6.12001  0.953925
6.12069  0.953972
6.12553  0.954309
6.12625  0.954359
6.13274  0.954815
6.14202  0.955473
6.15497  0.956408
6.15822  0.956645
6.16875  0.957422
6.18508  0.958654
6.18588  0.958716
